Complaint number,Complaint filed against,Complaint filed by,Reason complaint filed,Confirmed complaint,How resolved,Received date,Closed date,Complaint type,Coverage type,Coverage level,Others involved,Respondent ID,Respondent Role,Respondent type,Complainant type,Keywords
2899,State Farm Flood,Insured,Refund Of Premium,Yes,No Jurisdiction,7/23/2012,10/16/2012,Property and Casualty,Miscellaneous,Federal Flood,,75391,Other,Organization,INDV,
31021,State Farm Bank,Attorney,Not Within TDI Jurisdiction,No,No Jurisdiction; Information Furnished,6/26/2013,7/25/2013,Property and Casualty,Automobile,Individual Private Pass,Deceased Person; Insured,85279,Other,Organization,ORG,
62688,State Farm Lloyds,Insured,Delays (Claims Handling); Non-Renewal,No,Additional Payment Expected; Information Furnished,5/12/2014,7/2/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent,3105,Ins Co - Licensed/Active,Organization,INDV,HAIL; SLAB
62707,State Farm Lloyds,Insured,Denial Of Claim,Yes,Contract Language/Legal Issue; Claim Settled; Information Furnished,5/12/2014,6/13/2014,Property and Casualty,Homeowners,Homeowners,Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; BURDEN OF PROOF; DAMAGE DISPUTE
62761,State Farm Lloyds,Insured,Delays (Claims Handling),No,Question of Fact; Additional Monies Received; Contract Language/Legal Issue,5/12/2014,6/17/2014,Property and Casualty,Homeowners,Rental,Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; BURDEN OF PROOF; DAMAGE DISPUTE; GR-Claim Evaluation; UNCOOPERATIVE INSURED
63136,State Farm Lloyds,Insured,Use Of Clue Reports,Yes,Information Furnished,5/15/2014,6/18/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,
63197,State Farm Lloyds,Insured,Premium and Rating,No,Information Furnished; Contract Language/Legal Issue,5/15/2014,6/23/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,DEDUCTIBLE; UNDERWRITING CRITERIA
63980,State Farm Lloyds,Insured,Excessive Rates; Premium and Rating; Refund Of Premium,No,Company Position Upheld; Information Furnished,5/19/2014,6/24/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
64074,State Farm Lloyds,Insured,Denial Of Claim,No,Information Furnished; Company Position Upheld,5/22/2014,6/25/2014,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,ACV; ADJUSTER'S HANDLING; DAMAGE DISPUTE; GR-Claim Evaluation; HAIL; ROOF; UNDERWRITING CRITERIA
64150,State Farm Lloyds,Insured,Refund Of Premium,Yes,Company Position Upheld; Information Furnished; Additional Monies Received,5/22/2014,12/10/2014,Property and Casualty,Homeowners,Homeowners,Associated Agent,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
